TransactionID,pipeline,fraud_prob,prediction,e2e_latency_ms,score_latency_ms,batch_score_ms,batch_latency_s
A2#3664113,A2,0.309828,legit,94.172,,0.482,
B0#3663825,B0,0.08084,legit,,0.393,,38.0139
A2#3664352,A2,0.036599,legit,39.321,,0.435,
A2#3663704,A2,0.010601,legit,44.259,,0.425,
A1#3663712,A1,0.063359,legit,17.911,0.436,,
A1#3663766,A1,0.080719,legit,12.899,0.396,,
A1#3663940,A1,0.047381,legit,16.374,0.388,,
B0#3663696,B0,0.030439,legit,,0.379,,19.9773
A1#3663755,A1,0.070512,legit,14.416,0.41,,
A1#3664195,A1,0.035005,legit,15.217,0.408,,
A1#3664360,A1,0.061683,legit,11.935,0.389,,
enrichment_off#3663716,A2,0.114628,legit,40.792,,0.63,
enrichment_off#3663646,A2,0.088688,legit,1845.277,,0.804,
A2#3664187,A2,0.069741,legit,49.35,,0.414,
A2#3663648,A2,0.071399,legit,37.407,,0.448,
B0#3664134,B0,0.108548,legit,,0.399,,82.9682
A1#3663770,A1,0.021692,legit,11.666,0.386,,
enrichment_on#3663742,A2,0.119323,legit,39.304,,0.611,
A2#3663802,A2,0.051939,legit,37.431,,0.424,
A2#3663611,A2,0.008279,legit,81.594,,0.39,
A1#3663777,A1,0.065185,legit,14.092,0.388,,
A2#3663885,A2,0.103525,legit,38.377,,0.386,
B0#3664001,B0,0.055347,legit,,0.356,,64.9409
B0#3663868,B0,0.084688,legit,,0.354,,43.6718
A2#3663813,A2,0.913738,fraud,47.161,,0.434,
A1#3664381,A1,0.01641,legit,18.961,0.387,,
A2#3663738,A2,0.10101,legit,47.231,,6.693,
A2#3664211,A2,0.192602,legit,42.696,,0.423,
B0#3664251,B0,0.049927,legit,,0.375,,99.0094
A2#3664281,A2,0.099201,legit,55.956,,0.409,
enrichment_off#3663715,A2,0.075478,legit,44.341,,0.62,
A1#3663662,A1,0.045121,legit,23.521,0.434,,
B0#3664429,B0,0.102715,legit,,0.41,,127.9649
A1#3664188,A1,0.048701,legit,14.895,0.377,,
3663637,A2,0.296842,legit,1402.499,,0.704,
A2#3664315,A2,0.311384,legit,40.112,,0.406,
A1#3664038,A1,0.148429,legit,15.878,0.683,,
A2#3664244,A2,0.008133,legit,43.53,,0.392,
B0#3664455,B0,0.079541,legit,,0.427,,132.1661
A2#3663674,A2,0.045006,legit,39.658,,3.576,
A2#3663739,A2,0.011242,legit,67.781,,0.387,
A1#3663602,A1,0.455441,legit,11.558,0.385,,
A2#3663670,A2,0.043891,legit,37.781,,0.406,
A1#3663575,A1,0.086548,legit,3915.935,0.396,,
B0#3664209,B0,0.032007,legit,,0.393,,93.3104
enrichment_on#3663665,A2,0.050231,legit,1025.123,,0.607,
enrichment_on#3663646,A2,0.088688,legit,2287.686,,17.86,
B0#3664273,B0,0.269496,legit,,0.371,,102.8386
A1#3663565,A1,0.049792,legit,6778.873,0.363,,
B0#3664166,B0,0.019975,legit,,0.378,,87.0129
B0#3663706,B0,0.092391,legit,,0.379,,21.1215
A2#3664523,A2,0.191317,legit,58.919,,0.397,
A2#3663955,A2,0.157307,legit,38.699,,0.389,
B0#3663946,B0,0.26272,legit,,0.413,,56.1876
A2#3664018,A2,0.062565,legit,37.389,,0.477,
B0#3664297,B0,0.13782,legit,,0.39,,106.3355
B0#3664240,B0,0.03237,legit,,0.379,,97.4202
A2#3664356,A2,0.028744,legit,44.494,,0.401,
B0#3664025,B0,0.001772,legit,,0.52,,68.934
enrichment_off#3663663,A2,0.131272,legit,518.107,,0.82,
A2#3664348,A2,0.102411,legit,39.335,,0.4,
enrichment_on#3663682,A2,0.146828,legit,61.079,,0.596,
enrichment_off#3663653,A2,0.019125,legit,848.252,,0.802,
A2#3663716,A2,0.114628,legit,49.057,,0.485,
A2#3663662,A2,0.045121,legit,38.333,,0.469,
A2#3664287,A2,0.219629,legit,50.241,,0.426,
A2#3664359,A2,0.148971,legit,43.669,,0.435,
A2#3664264,A2,0.055954,legit,38.266,,0.403,
B0#3664409,B0,0.172128,legit,,0.377,,125.5114
A2#3663583,A2,0.019982,legit,1661.17,,0.512,
3663586,A2,0.119642,legit,5292.861,,0.807,
A2#3664420,A2,0.039552,legit,38.803,,0.385,
B0#3664121,B0,0.015186,legit,,0.363,,81.4539
A2#3663992,A2,0.395666,legit,39.826,,0.406,
A1#3664230,A1,0.073738,legit,15.157,0.415,,
A2#3664084,A2,0.148429,legit,48.96,,2.077,
A1#3663609,A1,0.070097,legit,13.313,0.453,,
A2#3664041,A2,0.022978,legit,41.551,,0.408,
B0#3664387,B0,0.135062,legit,,0.348,,122.5991
B0#3664318,B0,0.048142,legit,,0.383,,110.7364
B0#3663753,B0,0.087268,legit,,0.375,,27.9932
A2#3664101,A2,0.043492,legit,44.657,,0.401,
A2#3663650,A2,0.166514,legit,41.651,,0.406,
B0#3663838,B0,0.174578,legit,,0.372,,39.7247
A2#3663925,A2,0.24509,legit,43.333,,0.432,
A1#3663855,A1,0.06285,legit,12.442,0.415,,
enrichment_on#3663633,A2,0.039047,legit,2782.36,,5.664,
A2#3664181,A2,0.027764,legit,50.357,,0.403,
A2#3663651,A2,0.021604,legit,41.4,,0.409,
A2#3664286,A2,0.014876,legit,39.886,,0.426,
A2#3663559,A2,0.075233,legit,7379.17,,0.512,
A1#3664174,A1,0.144872,legit,17.33,0.428,,
A2#3664027,A2,0.031304,legit,51.734,,5.019,
A1#3664176,A1,0.016484,legit,14.874,0.392,,
A1#3663667,A1,0.08329,legit,13.765,0.372,,
A1#3664029,A1,0.109498,legit,15.251,0.402,,
B0#3664119,B0,0.027815,legit,,0.366,,81.217
enrichment_on#3663676,A2,0.023976,legit,142.823,,19.434,
A1#3663795,A1,0.065623,legit,14.52,0.374,,
A1#3663684,A1,0.121326,legit,13.43,0.38,,
B0#3664102,B0,0.362133,legit,,0.354,,79.095
A1#3663916,A1,0.293641,legit,12.227,0.407,,
A1#3663720,A1,0.025174,legit,11.606,0.386,,
enrichment_on#3663574,A2,0.047904,legit,8584.864,,6.125,
A2#3664291,A2,0.263651,legit,39.033,,0.38,
A2#3663666,A2,0.017044,legit,40.614,,0.397,
A1#3664250,A1,0.018113,legit,41.001,0.391,,
3663652,A2,0.040271,legit,51.908,,0.718,
A1#3663978,A1,0.084596,legit,15.367,0.628,,
A2#3664442,A2,0.108683,legit,46.335,,3.726,
B0#3664225,B0,0.089858,legit,,0.363,,95.4475
A1#3664148,A1,0.027833,legit,14.953,0.38,,
A1#3664063,A1,0.00917,legit,13.725,0.391,,
A2#3664202,A2,0.064744,legit,40.623,,0.408,
A2#3664131,A2,0.047811,legit,78.91,,3.698,
A2#3664294,A2,0.024606,legit,38.477,,0.4,
3663641,A2,0.140366,legit,780.976,,0.794,
A1#3664426,A1,0.22073,legit,13.285,0.407,,
enrichment_off#3663702,A2,0.033146,legit,36.654,,0.609,
B0#3664477,B0,0.133744,legit,,0.405,,136.5046
A1#3663666,A1,0.017044,legit,13.613,0.387,,
A1#3664446,A1,0.097533,legit,15.06,0.373,,
enrichment_on#3663611,A2,0.036878,legit,5008.107,,1.02,
B0#3664296,B0,0.004043,legit,,0.382,,106.1946
A1#3663642,A1,0.060857,legit,12.506,0.437,,
A2#3664089,A2,0.01799,legit,49.363,,6.971,
A1#3664075,A1,0.060043,legit,15.628,0.403,,
enrichment_off#3663630,A2,0.170553,legit,3110.193,,0.807,
A2#3664399,A2,0.079035,legit,46.713,,2.059,
B0#3664189,B0,0.035461,legit,,0.352,,90.4133
A1#3664311,A1,0.117284,legit,14.135,0.403,,
enrichment_off#3663584,A2,0.022208,legit,5535.997,,0.762,
A1#3663926,A1,0.050384,legit,15.59,0.402,,
A2#3663758,A2,0.113937,legit,43.878,,0.422,
B0#3664096,B0,0.199339,legit,,0.37,,78.3592
A1#3663558,A1,0.064006,legit,6624.468,0.409,,
A2#3664163,A2,0.072047,legit,43.924,,5.066,
B0#3663776,B0,0.047869,legit,,0.357,,31.6031
A1#3664070,A1,0.021147,legit,12.989,0.369,,
A2#3664548,A2,0.137252,legit,53.493,,0.389,
A1#3663888,A1,0.07726,legit,16.15,0.393,,
3663640,A2,0.041839,legit,1313.292,,0.867,
A1#3664392,A1,0.003296,legit,12.438,0.401,,
enrichment_on#3663554,A2,0.075291,legit,8565.869,,2.567,
B0#3664449,B0,0.081565,legit,,0.394,,130.8094
B0#3663709,B0,0.113103,legit,,0.371,,21.4564
B0#3664150,B0,0.014396,legit,,0.372,,84.9038
B0#3664182,B0,0.012982,legit,,0.405,,89.4314
A1#3663845,A1,0.079654,legit,13.83,0.378,,
B0#3663884,B0,0.097324,legit,,0.501,,46.0339
enrichment_on#3663601,A2,0.051561,legit,4859.841,,0.704,
3663674,A2,0.050433,legit,39.828,,0.561,
B0#3663575,B0,0.086548,legit,,0.39,,4.3558
A2#3663569,A2,0.026603,legit,4224.846,,0.501,
A1#3663824,A1,0.102425,legit,15.321,0.379,,
A1#3663945,A1,0.053202,legit,13.017,0.372,,
A1#3664062,A1,0.080872,legit,12.574,0.409,,
A2#3664091,A2,0.111265,legit,48.177,,0.39,
B0#3663784,B0,0.056266,legit,,0.376,,32.7801
A2#3664134,A2,0.108548,legit,48.561,,2.164,
A2#3663880,A2,0.261027,legit,53.846,,0.415,
A2#3664110,A2,0.06023,legit,70.882,,6.544,
B0#3663863,B0,0.18905,legit,,0.378,,42.9978
enrichment_on#3663587,A2,0.386691,legit,7590.864,,6.125,
A1#3664445,A1,0.14753,legit,21.323,0.391,,
B0#3664133,B0,0.078196,legit,,0.376,,82.8709
A1#3664547,A1,0.028865,legit,11.99,0.42,,
A2#3664169,A2,0.136499,legit,43.628,,0.409,
B0#3664177,B0,0.001109,legit,,0.364,,88.7201
enrichment_off#3663561,A2,0.224079,legit,7433.53,,0.625,
A2#3663645,A2,0.076904,legit,40.036,,0.4,
enrichment_off#3663598,A2,0.319856,legit,5413.518,,0.89,
A2#3663709,A2,0.113103,legit,76.185,,0.393,
A2#3663752,A2,0.066787,legit,44.21,,0.38,
A2#3664201,A2,0.028161,legit,44.917,,2.051,
B0#3664400,B0,0.155088,legit,,0.363,,124.4106
A2#3663991,A2,0.032077,legit,39.176,,0.386,
A1#3664036,A1,0.065764,legit,20.175,0.395,,
A2#3663564,A2,0.059696,legit,6401.502,,0.503,
B0#3664004,B0,0.016705,legit,,0.382,,65.6173
enrichment_on#3663709,A2,0.113103,legit,42.121,,2.356,
A1#3663617,A1,0.022592,legit,15.506,0.396,,
A1#3664350,A1,0.01311,legit,14.351,0.393,,
enrichment_on#3663737,A2,0.016545,legit,44.956,,0.65,
A2#3663724,A2,0.02835,legit,38.322,,0.384,
A2#3663629,A2,0.170344,legit,43.409,,0.483,
enrichment_off#3663649,A2,0.087156,legit,1707.597,,0.822,
A1#3664051,A1,0.058661,legit,25.025,0.435,,
A2#3664042,A2,0.032715,legit,38.846,,0.399,
3663663,A2,0.131272,legit,42.652,,0.57,
B0#3664052,B0,0.050887,legit,,0.354,,72.259
A2#3663673,A2,0.077635,legit,47.467,,0.399,
enrichment_off#3663686,A2,0.018419,legit,37.928,,0.606,
A2#3663844,A2,0.056424,legit,41.202,,0.451,
A1#3664393,A1,0.111657,legit,14.924,0.387,,
B0#3663800,B0,0.49027,legit,,0.359,,34.7751
A2#3664457,A2,0.143769,legit,38.258,,0.395,
B0#3663747,B0,0.052005,legit,,0.349,,27.1018
3663611,A2,0.036878,legit,3506.976,,0.794,
A1#3664514,A1,0.001415,legit,19.193,0.398,,
A2#3663820,A2,0.026941,legit,39.313,,0.398,
B0#3664479,B0,0.073114,legit,,0.365,,136.8395
A2#3664300,A2,0.026136,legit,68.713,,0.402,
A1#3664018,A1,0.056694,legit,21.682,0.407,,
A2#3664248,A2,0.026143,legit,40.138,,0.393,
A1#3664055,A1,0.099656,legit,16.442,1.243,,
A1#3663956,A1,0.168073,legit,20.195,0.4,,
A2#3664192,A2,0.075746,legit,75.342,,0.412,
B0#3664002,B0,0.150385,legit,,0.385,,65.1344
A1#3664503,A1,0.274512,legit,16.979,0.401,,
B0#3663903,B0,0.01058,legit,,0.365,,49.2396
A1#3664384,A1,0.008461,legit,14.001,0.405,,
A1#3663589,A1,0.5108,fraud,521.499,0.376,,
A1#3663908,A1,0.020646,legit,15.313,0.409,,
B0#3663865,B0,0.061027,legit,,0.371,,43.302
enrichment_on#3663627,A2,0.020382,legit,3443.36,,5.664,
enrichment_on#3663648,A2,0.071399,legit,1689.36,,5.664,
A1#3664536,A1,0.042859,legit,14.157,0.366,,
A1#3663827,A1,0.931058,fraud,23.493,2.192,,
A1#3663604,A1,0.034505,legit,14.58,0.433,,
enrichment_off#3663572,A2,0.082263,legit,6408.997,,0.762,
B0#3664265,B0,0.085989,legit,,0.381,,101.1497
A2#3664189,A2,0.035461,legit,42.308,,0.391,
A2#3663718,A2,0.053593,legit,38.898,,0.421,
enrichment_off#3663627,A2,0.020382,legit,4000.107,,0.82,
enrichment_on#3663683,A2,0.04127,legit,38.568,,0.597,
enrichment_off#3663721,A2,0.123169,legit,37.324,,0.645,
B0#3663634,B0,0.037101,legit,,0.39,,12.4544
A2#3663552,A2,0.027429,legit,6981.005,,4.055,
A2#3664009,A2,0.151884,legit,73.178,,0.397,
A2#3663621,A2,0.017301,legit,44.439,,5.364,
enrichment_on#3663636,A2,0.158781,legit,2780.693,,0.794,
enrichment_on#3663645,A2,0.08076,legit,1907.36,,5.664,
B0#3664243,B0,0.031642,legit,,0.436,,97.8288
A1#3664314,A1,0.028816,legit,14.785,0.404,,
A1#3664468,A1,0.038725,legit,14.759,0.423,,
A1#3663914,A1,0.246179,legit,15.978,0.402,,
enrichment_on#3663584,A2,0.022208,legit,8374.923,,6.392,
B0#3664376,B0,0.028573,legit,,0.4,,121.2575
A1#3664095,A1,0.011569,legit,15.831,2.063,,
B0#3664465,B0,0.027658,legit,,0.388,,134.142
B0#3663702,B0,0.045538,legit,,0.34,,20.6322
B0#3663875,B0,0.056554,legit,,0.376,,44.6467
A1#3664419,A1,0.032748,legit,13.982,0.417,,
A2#3663931,A2,0.2083,legit,40.896,,0.405,
3663638,A2,0.277528,legit,1427.629,,0.772,
3663693,A2,0.175668,legit,37.049,,0.659,
B0#3664380,B0,0.003255,legit,,0.429,,121.8104
A2#3663829,A2,0.034529,legit,38.988,,0.412,
B0#3664070,B0,0.021147,legit,,0.354,,74.6353
B0#3663878,B0,0.01382,legit,,0.379,,45.1496
A1#3663929,A1,0.035605,legit,19.388,0.395,,
A2#3663644,A2,0.06941,legit,42.59,,0.397,
B0#3664447,B0,0.007995,legit,,0.381,,130.337
enrichment_off#3663666,A2,0.017044,legit,227.357,,0.688,
A1#3664438,A1,0.021332,legit,15.107,0.38,,
3663554,A2,0.075291,legit,7557.147,,6.172,
A2#3664487,A2,0.014504,legit,40.117,,0.401,
B0#3663831,B0,0.041528,legit,,0.417,,38.817
A2#3664285,A2,0.196095,legit,102.86,,0.396,
B0#3664330,B0,0.017013,legit,,0.373,,113.6556
A1#3663557,A1,0.080275,legit,8544.519,0.382,,
enrichment_off#3663571,A2,0.046674,legit,7728.532,,0.835,
A2#3663971,A2,0.092175,legit,39.081,,0.464,
A1#3663747,A1,0.037924,legit,14.513,0.373,,
B0#3663725,B0,0.058257,legit,,0.383,,23.5526
B0#3663745,B0,0.385429,legit,,0.358,,26.7626
A2#3663852,A2,0.048583,legit,35.814,,0.378,
B0#3664033,B0,0.079116,legit,,0.441,,69.9182
A1#3664300,A1,0.026136,legit,14.632,0.395,,
A1#3663860,A1,0.128341,legit,12.472,0.424,,
A2#3664217,A2,0.014697,legit,38.685,,0.411,
B0#3663673,B0,0.077635,legit,,0.383,,17.3198
A1#3664108,A1,0.025327,legit,13.795,0.389,,
A1#3663789,A1,0.028797,legit,13.598,0.392,,
B0#3664151,B0,0.041154,legit,,0.383,,85.0295
A2#3664363,A2,0.029014,legit,38.188,,0.409,
enrichment_on#3663728,A2,0.019316,legit,37.614,,0.612,
B0#3663947,B0,0.045807,legit,,0.393,,56.3802
A1#3663918,A1,0.019869,legit,13.829,0.39,,
A2#3663593,A2,0.086402,legit,37.633,,0.397,
A2#3663948,A2,0.03016,legit,41.947,,0.405,
B0#3663850,B0,0.088824,legit,,0.389,,41.3331
B0#3664263,B0,0.022208,legit,,0.394,,100.8737
A1#3663780,A1,0.914079,fraud,15.105,0.378,,
A1#3664297,A1,0.13782,legit,17.001,0.406,,
A1#3664169,A1,0.136499,legit,12.651,0.432,,
B0#3664499,B0,0.052699,legit,,0.363,,139.8602
B0#3664124,B0,0.158062,legit,,0.356,,81.879
B0#3663741,B0,0.077777,legit,,0.356,,26.0993
B0#3663565,B0,0.049792,legit,,0.382,,2.8663
enrichment_on#3663649,A2,0.087156,legit,1409.039,,0.85,
A2#3663961,A2,0.031604,legit,39.026,,0.407,
enrichment_off#3663603,A2,0.034093,legit,5346.193,,0.807,
A1#3664527,A1,0.392061,legit,13.275,0.368,,
A1#3664033,A1,0.079116,legit,11.978,0.376,,
A2#3663943,A2,0.02691,legit,43.179,,0.422,
B0#3663807,B0,0.033835,legit,,0.41,,35.6647
A1#3663825,A1,0.08084,legit,15.755,0.381,,
A1#3664516,A1,0.103264,legit,17.522,0.382,,
A1#3663772,A1,0.13507,legit,14.159,0.394,,
A1#3664019,A1,0.041547,legit,60.408,0.4,,
B0#3664520,B0,0.067739,legit,,0.358,,142.8678
enrichment_off#3663712,A2,0.063359,legit,37.397,,0.675,
B0#3663737,B0,0.016545,legit,,0.349,,25.4979
enrichment_off#3663746,A2,0.11028,legit,39.23,,0.615,
B0#3663998,B0,0.132116,legit,,0.382,,64.2997
B0#3663736,B0,0.153962,legit,,0.385,,25.35
enrichment_on#3663717,A2,0.074296,legit,36.516,,0.626,
B0#3663764,B0,0.04134,legit,,0.349,,29.8894
A2#3663835,A2,0.084808,legit,38.373,,0.386,
A2#3663850,A2,0.086753,legit,37.436,,0.396,
A1#3663875,A1,0.056554,legit,19.008,0.38,,
A1#3663813,A1,0.913738,fraud,25.461,5.034,,
A1#3663925,A1,0.143819,legit,14.883,0.455,,
A1#3664418,A1,0.047542,legit,14.712,0.412,,
A1#3664257,A1,0.125549,legit,12.295,0.405,,
A1#3663882,A1,0.021199,legit,14.063,0.393,,
enrichment_on#3663653,A2,0.019125,legit,1843.823,,19.434,
A2#3663624,A2,0.356065,legit,43.076,,0.43,
B0#3663771,B0,0.051521,legit,,0.364,,30.9316
A1#3664221,A1,0.028917,legit,14.753,0.395,,
B0#3663939,B0,0.103354,legit,,0.407,,54.8892
B0#3664332,B0,0.064616,legit,,0.396,,114.0917
B0#3663824,B0,0.102425,legit,,0.382,,37.9009
A2#3663555,A2,0.211343,legit,7439.903,,0.462,
A1#3664522,A1,0.054498,legit,14.111,0.396,,
A2#3663563,A2,0.138495,legit,6635.502,,0.503,
B0#3664176,B0,0.018541,legit,,0.383,,88.5149
B0#3663793,B0,0.91733,fraud,,0.34,,33.7752
B0#3663809,B0,0.03185,legit,,0.382,,35.8704
A2#3664035,A2,0.030613,legit,40.218,,0.425,
A2#3664141,A2,0.021632,legit,40.244,,0.408,
A2#3664062,A2,0.080872,legit,38.335,,0.421,
B0#3663611,B0,0.036878,legit,,0.373,,9.5515
A2#3664269,A2,0.160431,legit,49.028,,7.53,
A1#3664308,A1,0.039546,legit,14.628,0.395,,
B0#3664084,B0,0.148429,legit,,0.387,,76.5662
A1#3664207,A1,0.053404,legit,15.332,0.381,,
B0#3664532,B0,0.180324,legit,,0.377,,144.3474
A2#3664485,A2,0.074324,legit,41.884,,0.394,
3663725,A2,0.058257,legit,37.847,,0.626,
B0#3664147,B0,0.13751,legit,,0.363,,84.5095
B0#3664194,B0,0.139586,legit,,0.409,,91.1723
3663629,A2,0.138386,legit,2158.499,,0.704,
A2#3663999,A2,0.359532,legit,37.318,,0.405,
A2#3664016,A2,0.026248,legit,46.797,,0.39,
B0#3663916,B0,0.293641,legit,,0.372,,51.2835
B0#3663738,B0,0.10101,legit,,0.361,,25.6385
enrichment_on#3663731,A2,0.062755,legit,38.428,,0.597,
enrichment_off#3663703,A2,0.037782,legit,40.68,,2.3,
B0#3663790,B0,0.236616,legit,,0.362,,33.4537
A1#3664546,A1,0.020929,legit,11.508,0.382,,
B0#3664430,B0,0.015574,legit,,0.404,,128.1022
A1#3663811,A1,0.934051,fraud,13.235,0.395,,
A1#3663724,A1,0.045119,legit,11.635,0.4,,
3663710,A2,0.059338,legit,40.251,,0.637,
enrichment_on#3663656,A2,0.088057,legit,1648.072,,0.775,
A2#3664063,A2,0.00917,legit,41.469,,0.401,
B0#3663781,B0,0.030066,legit,,0.348,,32.4389
A2#3663942,A2,0.3307,legit,39.724,,0.368,
A2#3663733,A2,0.084864,legit,48.957,,0.408,
B0#3663560,B0,0.036645,legit,,0.367,,2.1345
A1#3664220,A1,0.005757,legit,22.515,0.389,,
A1#3663650,A1,0.166514,legit,81.776,0.398,,
A1#3664505,A1,0.090576,legit,14.753,0.371,,
enrichment_on#3663612,A2,0.015372,legit,3840.054,,0.672,
enrichment_on#3663609,A2,0.070097,legit,4986.693,,0.794,
B0#3664158,B0,0.174951,legit,,0.368,,86.0241
A2#3664051,A2,0.058661,legit,47.209,,0.458,
A1#3663690,A1,0.049545,legit,13.816,0.391,,
enrichment_off#3663661,A2,0.325982,legit,632.597,,0.822,
A1#3663738,A1,0.10101,legit,15.222,0.437,,
A1#3663960,A1,0.031698,legit,15.89,0.396,,
A1#3663562,A1,0.031443,legit,7357.762,0.422,,
3663627,A2,0.020382,legit,2505.568,,4.436,
3663635,A2,0.047963,legit,1916.288,,0.712,
A1#3664306,A1,0.213067,legit,18.541,0.432,,
3663713,A2,0.161099,legit,75.655,,0.673,
B0#3664088,B0,0.217466,legit,,0.385,,77.0926
A2#3663938,A2,0.33152,legit,39.321,,0.436,
B0#3664259,B0,0.37102,legit,,0.382,,100.2696
B0#3664000,B0,0.01924,legit,,0.356,,64.7318
B0#3663632,B0,0.172971,legit,,0.436,,12.1822
B0#3663592,B0,0.100342,legit,,0.414,,6.9583
B0#3664416,B0,0.035785,legit,,0.388,,126.4567
A2#3664023,A2,0.177012,legit,38.764,,0.38,
A2#3664367,A2,0.102106,legit,41.268,,0.403,
A1#3664285,A1,0.196095,legit,14.116,0.403,,
B0#3663973,B0,0.167859,legit,,0.41,,60.1324
A2#3663745,A2,0.385429,legit,38.173,,0.405,
A2#3664239,A2,0.0077,legit,43.088,,3.611,
B0#3664019,B0,0.041547,legit,,0.376,,68.1498
B0#3664108,B0,0.025327,legit,,0.366,,79.8474
A2#3663796,A2,0.103991,legit,39.212,,0.385,
A1#3664506,A1,0.068524,legit,22.046,1.454,,
B0#3663614,B0,0.311136,legit,,0.342,,9.8991
B0#3664357,B0,0.172166,legit,,0.391,,118.5251
A2#3663935,A2,0.044943,legit,39.294,,0.452,
A2#3663694,A2,0.038777,legit,43.659,,0.387,
A2#3663884,A2,0.158312,legit,44.982,,0.445,
B0#3664542,B0,0.280182,legit,,0.359,,145.6347
A2#3664482,A2,0.083231,legit,41.891,,0.446,
A1#3663591,A1,0.021237,legit,247.478,0.416,,
3663556,A2,0.193744,legit,7473.998,,0.708,
B0#3663595,B0,0.009476,legit,,0.362,,7.3954
B0#3664494,B0,0.038027,legit,,0.381,,138.9398
B0#3664064,B0,0.14001,legit,,0.365,,73.8026
A2#3664435,A2,0.032882,legit,53.539,,0.391,
A2#3663655,A2,0.293953,legit,36.705,,0.413,
B0#3664007,B0,0.001539,legit,,0.403,,66.2022
A2#3664099,A2,0.211489,legit,48.46,,5.205,
enrichment_on#3663746,A2,0.11028,legit,38.481,,0.677,
A2#3664029,A2,0.109498,legit,40.613,,0.402,
A2#3664130,A2,0.13724,legit,45.606,,0.389,
